_id,ลำดับ,เลขทะเบียนเดิม,FID,ชื่อโรงงาน,ประกอบกิจการ,,,,,,อำเภอ,จังหวัด,ไปรษณีย์,เขต,จำนวนโรงงาน
83,83,3-77(2)-49/26,1.01E+13,สมเกียรติการช่าง,ซ่อมแหนบรถยนต์,,,,,,สัมพันธวงศ์,กรุงเทพมหานคร,10100,,
84,84,3-37-14/43,1.01001E+13,บริษัท เจ.บี.เอ. เฟอร์นิเจอร์ จำกัด,ทำเฟอร์นิเจอร์ด้วยไม้เช่น ตู้ เตียง โต๊ะ,,,,,,บางกอกใหญ่,กรุงเทพมหานคร,10600,,
85,85,3-68-15/23,1.01002E+13,บอส โก เอ็นจิเนียริ่ง,ผลิตเครื่องบดพลาสติก และชิ้นส่วนประกอบ,,,,,,ธนบุรี,กรุงเทพมหานคร,10600,,
86,86,3-53(1)-28/38,1.01001E+13,ห้างหุ้นส่วนจำกัด เลิศอริยะรังสี,ผลิตภัณฑ์จากพลาสติก,,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
87,87,3-95(1)-47/29,1.01E+13,อู่สุพจน์บริการ,ซ่อมและพ่นสีรถยนต์ ได้ปีละ 40 คัน,,,,,,บึงกุ่ม,กรุงเทพมหานคร,10240,,
88,88,3-53(7)-4/32,1.01004E+13,บริษัท เอส.ที.แสตนดาร์ด ชู (2000) จำกัด,ทำรองเท้าแตะจาก พี.วี.ซี. และฟองน้ำ,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
89,89,3-95(1)-4/43,1.0101E+13,เรียวออโต้เซอร์วิส,ซ่อมเครื่องยนต์ และเครื่องล่างรถยนต์,,,,,,บางกะปิ,กรุงเทพมหานคร,10240,,
90,90,3-64(9)-23/32,1.01002E+13,นายสมเกียรติ เชาว์สวัสดิกรกุล,"ทำเครื่องใช้เล็ก ๆ จากโลหะ เช่น น๊อต สกรู ได้ปีละ 15,000 กิโลกรัม",,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
91,91,3-24-5/43,1.01001E+13,บริษัท อี.เอ็ม.เอส.เท็กซ์ไทล์กรุ๊ฟ จำกัด,ถักถุงเท้าทุกชนิด ถักผ้ายืด ผ้าไนล่อน ผ้ามุ้ง และแถบอีลาสติก และตัดเย็บเสื้อผ้าสำเร็จรูป,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
92,92,3-74(3)-10/32,1.01E+13,บริษัท อมรโลหะกิจ จำกัด,ทำอุปกรณ์เครื่องใช้ไฟฟ้า เช่น สวิตช์ ปลั๊ก เต้าเสียบ,,,,,,ทุ่งครุ,กรุงเทพมหานคร,10140,,
93,93,3-84(1)-10/32,1.01001E+13,บริษัท ทอมสัน บราเดอร์ส จำกัด,ทำเครื่องประดับจาก เงิน ทอง ทองคำขาวและอัญมณี,,,,,,คลองเตย,กรุงเทพมหานคร,10110,,
94,94,3-46(2)-9/19,1.01003E+13,ห้างหุ้นส่วนจำกัด มาตรฐานเภสัช,ผลิตยารักษาโรคแผนปัจจุบัน เช่น ยาเม็ด ยาน้ำ และยาขี้ผึ้ง,,,,,,คลองเตย,กรุงเทพมหานคร,10110,,
95,95,3-41(2)-1/23,1.01005E+13,บริษัท 71 อินเตอร์สแกน จำกัด,ทำเพลทเพื่อใช้ในการพิมพ์และพิมพ์สิ่งพิมพ์ต่างๆ,,,,,,บางรัก,กรุงเทพมหานคร,10500,,
96,96,3-105-6/48,1.01005E+13,มิตรไพบูลย์,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และตัดเหล็ก,,,,,,หนองจอก,กรุงเทพมหานคร,10530,,
97,97,3-36(1)-8/29,1.01001E+13,จิตเสรีค้าไม้,ทำเครื่องเรือนจากไม้ แบบไม้สำหรับหล่อโลหะพัลเล็ท,,,,,,ภาษีเจริญ,กรุงเทพมหานคร,10160,,
98,98,3-95(1)-268/49,1.01E+13,บริษัท อีซูซุ แสงหงส์ บางกอก จำกัด,โชว์รูมจำหน่ายและศูนย์บรกิการ รถยนต์กะบะอีซูซุ,,,,,,ทุ่งครุ,กรุงเทพมหานคร,10140,,
99,99,3-74(3)-1/43,1.01035E+13,ปิติพาณิชย์,ผลิตชิ้นส่วนอุปกรณ์อะไหล่เครื่องไฟฟ้า,,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
100,100,3-95(1)-65/35,1.01E+13,ห้างหุ้นส่วนจำกัด บาวาเรียมอเตอร์,ซ่อมเครื่องยนต์ และเคาะพ่นสีรถยนต์,,,,,,จตุจักร,กรุงเทพมหานคร,10900,,
101,101,3-22(4)-3/32,1.01002E+13,ห้างหุ้นส่วนจำกัด สินอุดมสกรีนพริ้นติ้ง,"พิมพ์ผ้า ได้ 120,000 หลาต่อปี",,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
102,102,3-78(2)-9/23,1.01003E+13,นายวิโรจน์ จิตรวีระนันรังษี,ทำอุปกรณ์สำหรับรถจักรยานสามล้อและรถจักรยานสองล้อ เช่น บังโคลน กันชน,,,,,,ธนบุรี,กรุงเทพมหานคร,10600,,
103,103,3-95(1)-77/42,1.01E+13,บริษัท เอ็น.เค.ซี.อินเตอร์ จำกัด,ซ่อมเคาะพ่นสีรถยนต์,,,,,,ธนบุรี,กรุงเทพมหานคร,10600,,
104,104,3-64(13)-6/38,1.01007E+13,นายสมศักดิ์ แซ่อึ้ง,รับจ้างกลึง เชื่อม เจาะ ไส และตัดพับโลหะทั่วไป,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
105,105,3-95(1)-320/47,1.01E+13,บริษัท ออโต้เทคนิค (ประเทศไทย) จำกัด,ซ่อมรถยนต์,,,,,,บางกอกน้อย,กรุงเทพมหานคร,10700,,
106,106,3-53(7)-5/20,1.01005E+13,ห้างหุ้นส่วนจำกัด ทรัพย์ดีอุตสาหกรรม,"ทำรองเท้าแตะฟองน้ำได้ปีละ84,000คู่",,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
107,107,3-46(2)-2/17,1.01E+13,บริษัท โอลัน-เคมเมด จำกัด,ผลิตยารักษาโรคแผนปัจจุบัน,,,,,,จตุจักร,กรุงเทพมหานคร,10900,,
108,108,3-95(1)-123/53,1.01E+13,อมรการช่าง,ซ่อมหม้อน้ำรถยนต์,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
109,109,3-52(4)-2/32,1.01005E+13,จักรภัณฑ์พารา,ทำพื้นรองเท้ายาง,,,,,,บางแค,กรุงเทพมหานคร,10160,,
110,110,3-34(1)-139/48,1.01E+13,ชัยรุ่งเรือง,ไส ซอยไม้,,,,,,สวนหลวง,กรุงเทพมหานคร,10250,,
111,111,3-64(12)-24/48,1.01E+13,ห้างหุ้นส่วนจำกัด แหลมทองเอ็นจิเนียริ่ง 1995,รับจ้างตัด พับ กลึง เชื่อมโลหะทุกชนิด,,,,,,มีนบุรี,กรุงเทพมหานคร,10510,,
112,112,3-78(2)-2/32,1.01015E+13,บริษัท พี.เอส.จี.เทรดดิ้ง (ไทยแลนด์) จำกัด,ทำชิ้นส่วนหรืออุปกรณ์สำหรับจักรยานยนต์ เช่น ขาตั้ง ขาพักเท้า,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
